seller_id,revenue,orders,avg_review,late_rate
77530e9772f57a62c906e1c21538ab82,57881.68,320,4.052109181141439,0.10421836228287841
8160255418d5aaa7dbdc9f4c64ebda44,57017.990000000005,385,3.7690582959641254,0.16367713004484305
ea8482cd71df3c1969d7b9473ff13abc,56372.95,1146,3.9346774193548386,0.09516129032258064
4e922959ae960d389249c378d1c939f5,55881.3,420,3.864864864864865,0.10602910602910603
e882b2a25a10b9c057cc49695f222c19,55804.69,57,4.6,0.0
e9779976487b77c6d4ac45f75ec7afe9,54226.04,657,4.143979057591623,0.07329842931937172
966cb4760537b1404caedd472cc610a5,54120.22,75,3.792207792207792,0.025974025974025976
4d6d651bd7684af3fffabd5f08d12e5a,53728.58,369,4.162227602905569,0.04600484261501211
d91fb3b7d041e83b64a00a3edfb37e4f,52697.86,535,4.068181818181818,0.04895104895104895
2bf6a2c1e71bbd29a4ad64e6d3c3629f,52391.63,30,4.15625,0.09375
391fc6631aebcf3004804e51b40bcf1e,52059.19,526,3.9145962732919255,0.08850931677018634
c3cfdc648177fdbbbb35635a37472c53,51518.95,278,4.449230769230769,0.018461538461538463
c826c40d7b19f62a09e2d7c5e7295ee2,51329.42,354,4.024064171122995,0.07754010695187166
17a053fcb14bd219540cbde0df490be0,50810.6,125,4.163398692810458,0.058823529411764705
06a2c3af7b3aee5d69171b0e14f0ee87,49070.97,392,3.919512195121951,0.2121951219512195
eeb6de78f79159600292e314a77cbd18,48989.18,83,4.3977272727272725,0.03409090909090909
850f4f8af5ea87287ac68de36e29107f,48759.69,187,4.178571428571429,0.05612244897959184
b33e7c55446eabf8fe1a42d037ac7d6d,48315.840000000004,152,4.170886075949367,0.11392405063291139
712e6ed8aa4aa1fa65dab41fed5737e4,47888.94,79,3.4065934065934065,0.1978021978021978
ba90964cff9b9e0e6f32b23b82465f7b,47883.33,38,4.4222222222222225,0.06666666666666667
2eb70248d66e0e3ef83659f71b244378,47086.8,202,2.6666666666666665,0.1278538812785388
634964b17796e64304cadf1ad3050fb7,46324.68,268,3.869047619047619,0.08928571428571429
dbc22125167c298ef99da25668e1011f,46226.48,406,4.151898734177215,0.02109704641350211
7142540dd4c91e2237acb7e911c4eba2,46000.42,319,4.011560693641618,0.07514450867052024
